relativeUrl;acronym;name;admin
https://www.fundsexplorer.com.br/funds/abcp11;ABCP11;FDO INV IMOB GRAND PLAZA SHOPPING;Rio Bravo
https://www.fundsexplorer.com.br/funds/afcr11;AFCR11;AF INVEST FDO INV. IMOB. - RECEBÍVEIS IMOB.;CM CAPITAL MARKETS
https://www.fundsexplorer.com.br/funds/afhi11;AFHI11;AF INVEST CRI FDO. INV. IMOB – RECEBÍVEIS IMOB.;BTG Pactual
https://www.fundsexplorer.com.br/funds/afof11;AFOF11;ALIANZA FOFII FDO. INVEST. IMOB.;BRL Trust Investimentos
https://www.fundsexplorer.com.br/funds/aiec11;AIEC11;AUTONOMY EDIFÍCIOS CORPORATIVOS FUND. INV. IMOB.;Modal
https://www.fundsexplorer.com.br/funds/almi11;ALMI11;FDO INV IMOB - FII TORRE ALMIRANTE;BTG Pactual
https://www.fundsexplorer.com.br/funds/alzr11;ALZR11;ALIANZA TRUST RENDA IMOBILIARIA FDO INV IMOB;BTG Pactual
https://www.fundsexplorer.com.br/funds/ancr11b;ANCR11B;FDO INV IMOB - FII ANCAR IC;Geração Futuro
https://www.fundsexplorer.com.br/funds/apto11;APTO11;NAVI RESIDENCIAL FUNDO DE INVESTIMENTO IMOBILIÁRIO;BRL Trust Investimentos
https://www.fundsexplorer.com.br/funds/aqll11;AQLL11;ÁQUILLA FDO INV IMOB - FII;Foco Investimentos
https://www.fundsexplorer.com.br/funds/arct11;ARCT11;RIZA ARCTIUM REAL ESTATE FUNDO DE INVESTIMENTO IMOBILIÁRIO;Vortx
https://www.fundsexplorer.com.br/funds/arfi11b;ARFI11B;ÁQUILLA RENDA FDO INV IMOB - FII;Foco Investimentos
https://www.fundsexplorer.com.br/funds/arri11;ARRI11;FUNDO DE INVESTIMENTO IMOBILIÁRIO ÁTRIO REIT RECEBÍVEIS IMOBILIÁRIOS;Oliveira Trust
https://www.fundsexplorer.com.br/funds/atcr11;ATCR11;ÁTICO RENDA FDO INV IMOB - FII;Gradual Investimentos
https://www.fundsexplorer.com.br/funds/atsa11;ATSA11;HEDGE ATRIUM SHOPPING SANTO ANDRE FDO INV IMOB;Hedge Investments
https://www.fundsexplorer.com.br/funds/atwn11;ATWN11;FDO. INV. IMOB. A–TOWN;Vortx
https://www.fundsexplorer.com.br/funds/bari11;BARI11;FDO INV IMOB BARIGUI RENDIMENTOS IMOB I FII;Oliveira Trust
https://www.fundsexplorer.com.br/funds/bbfi11b;BBFI11B;BB FDO INV IMOB PROGRESSIVO;Caixa Economica Federal
https://www.fundsexplorer.com.br/funds/bbfo11;BBFO11;BB FUNDO DE FUNDOS - FDO. INV. IMOB.;BB DTVM
https://www.fundsexplorer.com.br/funds/bbgo11;BBGO11;BB FDO DE INV DE CRÉDITO FIAGRO - IMOBILIÁRIO;BB DTVM
https://www.fundsexplorer.com.br/funds/bbim11;BBIM11;BB RECEBIVEIS IMOBILIARIOS FDO INV IMOB - FII;Banco do Brasil
https://www.fundsexplorer.com.br/funds/bbpo11;BBPO11;BB PROGRESSIVO II FDO INV IMOB - FII;Votorantim Asset
https://www.fundsexplorer.com.br/funds/bbrc11;BBRC11;BB RENDA CORPORATIVA FDO INV IMOB - FII;Votorantim Asset
https://www.fundsexplorer.com.br/funds/bbvj11;BBVJ11;FDO INV IMOB BB VOTORANTIM JHSF C JARD CONT TOWER;Votorantim Asset
https://www.fundsexplorer.com.br/funds/bcff11;BCFF11;FDO INV IMOB - FII BTG PACTUAL FUNDO DE FUNDOS;BTG Pactual
https://www.fundsexplorer.com.br/funds/bcia11;BCIA11;BRADESCO CARTEIRA IMOBILIÁRIA ATIVA - FII;Bradesco
https://www.fundsexplorer.com.br/funds/bcri11;BCRI11;BANESTES RECEBÍVEIS IMOBILIÁRIOS FDO INV IMOB FII;Banco Fator
https://www.fundsexplorer.com.br/funds/bice11;BICE11;BRIO CRÉDITO ESTRUTURADO - FDO. INVEST. IMOB.;BRL Trust Investimentos
https://www.fundsexplorer.com.br/funds/bicr11;BICR11;INTER TÍTULOS IMOB. FDO INV. IMOB.;Inter DTVM
https://www.fundsexplorer.com.br/funds/bime11;BIME11;BRIO MULTIESTRATÉGIA FUNDO DE INVESTIMENTO IMOB.;BRL Trust Investimentos
https://www.fundsexplorer.com.br/funds/blca11;BLCA11;BLUEMACAW CATUAÍ TRIPLE A FDO DE INV IMOB;BTG Pactual
https://www.fundsexplorer.com.br/funds/blcp11;BLCP11;BLUECAP RENDA LOGÍSTICA FUNDO DE INVESTIMENTO IMOBILIÁRIO -FII;BTG Pactual
https://www.fundsexplorer.com.br/funds/blmc11;BLMC11;BLUEMACAW CRÉDITO IMOBILIÁRIO - FDO. INV. IMOB.;BTG Pactual
https://www.fundsexplorer.com.br/funds/blmg11;BLMG11;BLUEMACAW LOGÍSTICA FDO. INVEST. IMOB.;Vortx
https://www.fundsexplorer.com.br/funds/blmo11;BLMO11;BLUEMACAW OFFICE FUND II - FDO. INVEST. IMOB.;BRL Trust Investimentos
https://www.fundsexplorer.com.br/funds/blmr11;BLMR11;BLUEMACAW RENDA + FOF FDO. INVEST. IMOB.;BRL Trust Investimentos
https://www.fundsexplorer.com.br/funds/bmii11;BMII11;FUNDO BRASÍLIO MACHADO DE INVESTIMENTO IMOBILIÁRIO;Rio Bravo
https://www.fundsexplorer.com.br/funds/bmlc11;BMLC11;FDO INV IMOB BM BRASCAN LAJES CORPORATIVAS - FII;BTG Pactual
https://www.fundsexplorer.com.br/funds/bmlc11b;BMLC11B;FDO INV IMOB BM BRASCAN LAJES CORPORATIVAS - FII;BTG Pactual
https://www.fundsexplorer.com.br/funds/bnfs11;BNFS11;BANRISUL NOVAS FRONTEIRAS FDO INV IMOB - FII;Oliveira Trust
https://www.fundsexplorer.com.br/funds/bpff11;BPFF11;FDO INV IMOB BRASIL PLURAL ABSOLUTO FDO DE FUNDOS;Geração Futuro
https://www.fundsexplorer.com.br/funds/bpml11;BPML11;FDO INV IMOB BTG PACTUAL SHOPPINGS;BTG Pactual
https://www.fundsexplorer.com.br/funds/brco11;BRCO11;BRESCO LOGÍSTICA - FDO INV IMOB;Oliveira Trust
https://www.fundsexplorer.com.br/funds/brcr11;BRCR11;FDO INV IMOB - FII BTG PACTUAL CORP. OFFICE FUND;BTG Pactual
https://www.fundsexplorer.com.br/funds/brev11;BREV11;BRAZIL REAL ESTATE VICTORY FUND I - FDO. INV. IMOB;-
https://www.fundsexplorer.com.br/funds/brht11b;BRHT11B;FDO INV IMOB BR HOTEIS - FII;Elite
https://www.fundsexplorer.com.br/funds/brip11;BRIP11;BRIO REAL ESTATE III FDO DE INVEST. IMOB.;BRL Trust Investimentos
https://www.fundsexplorer.com.br/funds/brla11;BRLA11;FUNDO DE INVESTIMENTO IMOBILIÁRIO BRL PROP II;BTG Pactual
https://www.fundsexplorer.com.br/funds/brol11;BROL11;BR PROPERTIES FUNDO DE INVESTIMENTO IMOBILIÁRIO;BRL Trust Investimentos
https://www.fundsexplorer.com.br/funds/btal11;BTAL11;FUNDO DE INVESTIMENTO IMOBILIÁRIO BTG PACTUAL AGRO LOGÍSTICA;BTG Pactual
https://www.fundsexplorer.com.br/funds/btcr11;BTCR11;FDO INV IMOB BTG PACTUAL CREDITO IMOBILIARIO;BTG Pactual
https://www.fundsexplorer.com.br/funds/btgm11;BTGM11;FDO INV IMOB - FII BTG PACTUAL MALLS;BTG Pactual
https://www.fundsexplorer.com.br/funds/btlg11;BTLG11;BTG PACTUAL LOGISTICA FDO INV IMOB - FII;BTG Pactual
https://www.fundsexplorer.com.br/funds/btra11;BTRA11;FDO INV IMOB BTG PACTUAL TERRAS AGRÍCOLAS;BTG Pactual
https://www.fundsexplorer.com.br/funds/btsg11;BTSG11;BTSP I FDO. INVEST. IMOB - FII;Inter DTVM
https://www.fundsexplorer.com.br/funds/btwr11;BTWR11;BTOWERS FII - FUNDO DE INVESTIMENTO IMOBILIÁRIO;BRL Trust Investimentos
https://www.fundsexplorer.com.br/funds/bvar11;BVAR11;FDO INV IMOB BRASIL VAREJO - FII;Rio Bravo
https://www.fundsexplorer.com.br/funds/bzli11;BZLI11;BRAZIL REALTY FDO INV IMOB;Foco Investimentos
https://www.fundsexplorer.com.br/funds/cacr11;CACR11;CARTESIA RECEBÍVEIS IMOBILIÁRIOS - FUNDO DE INVEST;CM CAPITAL MARKETS
